c A SAT instance generated from a 3-CNF formula that had 600 clauses and 128 variables
Exactly-1
p cnf 128 600
11 108 98 0
-107 -117 -100 0
11 -125 -107 0
61 -51 100 0
75 19 8 0
-17 -6 30 0
77 -24 39 0
-118 -124 31 0
-27 43 -61 0
27 99 -93 0
114 -42 98 0
-23 -67 105 0
-8 78 -22 0
-40 -112 -1 0
-59 47 35 0
44 59 -7 0
102 97 -40 0
33 57 -29 0
-107 18 8 0
-1 105 -127 0
48 21 -120 0
-7 -34 -95 0
102 -115 -111 0
-26 -71 55 0
62 124 -12 0
-91 10 -30 0
-81 128 57 0
-31 40 -97 0
57 11 -81 0
-118 -98 -65 0
117 -33 24 0
48 -12 80 0
126 65 52 0
-31 102 6 0
-9 -38 107 0
40 14 116 0
121 74 -102 0
86 -41 11 0
20 101 -62 0
119 -71 116 0
77 -15 124 0
-6 -67 63 0
-6 -71 -3 0
102 44 84 0
-71 25 73 0
-43 -127 -125 0
-17 46 -61 0
-44 36 -113 0
-2 43 128 0
-49 1 80 0
-9 -79 99 0
115 42 79 0
103 -38 -44 0
-119 7 28 0
-127 -86 -30 0
-30 -67 -44 0
7 -5 18 0
70 20 73 0
-40 -99 59 0
-20 98 -62 0
-64 -8 19 0
120 82 123 0
-55 -4 93 0
-109 48 -18 0
-7 72 -33 0
-8 126 83 0
-39 -9 51 0
45 16 125 0
18 36 -61 0
-109 -72 98 0
-32 -80 -91 0
-2 -96 -115 0
50 -116 -48 0
106 -58 91 0
-114 -6 -2 0
-126 90 92 0
-69 -18 -11 0
75 21 -79 0
-11 -55 -105 0
-24 -113 -35 0
39 -108 -92 0
98 -93 30 0
27 -92 49 0
32 18 84 0
82 -103 40 0
-119 96 45 0
30 -126 38 0
56 3 126 0
48 -17 113 0
-72 79 108 0
55 -85 65 0
-59 53 -24 0
-72 6 -12 0
-118 109 101 0
19 -93 -53 0
-112 -46 19 0
109 -94 73 0
-95 11 -109 0
-11 123 72 0
-72 -100 46 0
-80 6 -73 0
-53 -87 92 0
19 111 87 0
-34 -105 65 0
-16 -123 29 0
-117 51 -28 0
111 -33 -44 0
-125 27 -55 0
26 -69 -42 0
-12 41 -87 0
-68 36 -10 0
3 -86 -97 0
-56 -120 13 0
-17 -68 49 0
-115 -40 -48 0
1 65 6 0
13 -62 -109 0
3 -16 32 0
-116 -19 -83 0
-12 -18 -76 0
-2 25 -98 0
96 -80 -110 0
-124 -40 45 0
115 -15 3 0
-100 -53 -125 0
-119 81 26 0
41 123 -128 0
-116 81 -99 0
101 123 116 0
50 8 -113 0
56 -78 -84 0
107 14 61 0
72 14 -94 0
33 12 -111 0
19 -93 16 0
82 -96 -35 0
43 -60 -7 0
36 -63 -124 0
-100 -39 -104 0
-55 -66 109 0
-32 -25 105 0
115 98 73 0
-77 -81 32 0
3 -45 71 0
-7 -126 -11 0
49 24 56 0
-112 80 29 0
-103 44 4 0
5 72 18 0
-32 64 -100 0
-66 -114 -44 0
55 -45 51 0
87 -102 -17 0
-74 105 79 0
74 125 -52 0
54 -73 -35 0
93 107 30 0
25 34 -121 0
126 -58 38 0
-124 -98 91 0
111 -76 -70 0
-47 -76 -56 0
-70 -3 46 0
-40 -32 51 0
82 -98 -119 0
29 55 -122 0
-89 -66 123 0
60 20 49 0
-1 53 85 0
88 -65 -106 0
96 -25 7 0
-21 -87 96 0
107 30 -98 0
114 55 -7 0
126 8 26 0
-80 -28 4 0
95 17 44 0
92 65 116 0
63 -48 -79 0
-100 64 83 0
-38 -100 -25 0
110 -100 91 0
-82 63 -1 0
101 -41 55 0
-81 -11 -59 0
-116 91 -97 0
-36 -43 -13 0
1 13 -23 0
-23 -112 94 0
82 -91 44 0
3 -49 34 0
-96 32 -109 0
29 -112 110 0
100 104 -33 0
107 -78 17 0
-21 -24 -114 0
15 111 98 0
-65 -102 40 0
-25 -107 -23 0
-79 66 -65 0
97 17 100 0
-108 42 -43 0
36 -113 1 0
94 -72 22 0
9 40 -119 0
-85 -58 -31 0
128 -83 -23 0
47 -110 -126 0
-48 119 -61 0
3 31 -98 0
127 103 122 0
-40 -37 -34 0
39 -44 -94 0
97 -127 51 0
11 -31 34 0
122 -89 97 0
-6 -26 122 0
126 -16 -44 0
-78 -48 -115 0
51 81 -75 0
-3 -92 -126 0
91 -2 126 0
-14 69 59 0
69 73 -89 0
-21 -91 105 0
115 1 116 0
-123 -86 66 0
-126 -35 -71 0
25 -53 -2 0
-37 109 -47 0
-44 -102 72 0
-95 -36 15 0
121 -40 -4 0
