c A SAT instance generated from a 3-CNF formula that had 800 clauses and 128 variables
Exactly-2
p cnf 128 800
31 102 125 0
-73 -79 -80 0
-2 94 -6 0
-97 10 68 0
124 76 -44 0
-109 50 103 0
55 -9 6 0
-71 74 -30 0
-47 101 58 0
126 -6 -127 0
122 128 115 0
-73 -75 -79 0
-35 -19 119 0
128 39 60 0
103 -90 98 0
13 -35 -49 0
35 -68 102 0
-97 -62 63 0
-6 -12 -97 0
-83 3 20 0
-108 12 -123 0
-64 -34 48 0
122 103 -86 0
-67 7 -37 0
-7 -23 -125 0
-22 50 63 0
28 -2 -40 0
8 86 20 0
-112 60 -14 0
56 -13 -118 0
-1 5 -112 0
-24 -21 -27 0
-81 86 115 0
-10 103 57 0
-6 -67 52 0
-110 -69 109 0
92 -37 -75 0
-96 103 -19 0
20 -44 -124 0
51 -106 6 0
-59 -124 10 0
116 91 25 0
3 -6 -60 0
-47 -104 58 0
84 8 27 0
-48 -83 78 0
77 116 -42 0
58 48 27 0
80 97 78 0
37 -22 18 0
-119 4 41 0
-37 -30 65 0
97 85 72 0
105 59 47 0
-96 57 -29 0
68 53 -107 0
-48 110 -97 0
34 -60 -116 0
86 -112 -53 0
-104 -102 18 0
113 -37 77 0
-78 37 81 0
-71 -99 -98 0
104 -75 15 0
8 91 117 0
67 36 20 0
-108 100 8 0
-119 65 -85 0
24 -103 99 0
-106 -109 89 0
34 -104 -33 0
-27 -105 -84 0
-90 55 -17 0
-100 29 -102 0
40 55 -75 0
71 -77 127 0
-105 -33 -90 0
45 14 124 0
51 2 -83 0
-2 125 -87 0
-45 -79 70 0
-20 -18 -21 0
-53 -81 -85 0
105 -48 107 0
11 -63 -124 0
-84 -47 2 0
127 88 -110 0
-128 -49 -92 0
32 -8 47 0
41 43 -75 0
103 -98 -36 0
35 30 50 0
126 118 -20 0
20 -91 58 0
54 81 69 0
14 -70 -17 0
117 -86 -85 0
39 -76 -89 0
-110 61 -105 0
-55 -114 -51 0
-43 75 -64 0
65 -8 -9 0
33 93 -99 0
-55 -82 42 0
-121 84 53 0
-12 -48 -74 0
-105 33 -13 0
-56 -55 27 0
-75 57 120 0
-80 -67 -69 0
9 -66 79 0
-68 88 -70 0
-122 -48 69 0
15 -96 -80 0
105 79 -57 0
-14 -109 47 0
-13 -96 -36 0
-87 81 -83 0
-20 -24 -26 0
-25 93 119 0
-95 46 -110 0
68 -84 -10 0
126 65 36 0
70 102 -6 0
66 10 84 0
24 29 -17 0
47 111 -3 0
-49 29 33 0
77 -3 48 0
119 7 -35 0
-84 96 -91 0
11 -17 -117 0
28 -68 -17 0
-14 3 59 0
-72 -41 -125 0
-31 -30 -34 0
114 21 -96 0
-31 81 15 0
95 -17 5 0
-96 9 -15 0
85 -36 15 0
52 -31 57 0
-91 -113 53 0
-79 128 102 0
97 5 -98 0
68 -87 48 0
88 3 -80 0
79 -75 -121 0
-6 -45 -24 0
66 -43 49 0
-106 -91 -49 0
-45 4 117 0
-86 -84 15 0
69 102 89 0
105 32 -86 0
117 -114 -101 0
82 -95 16 0
115 48 -11 0
-92 -35 89 0
73 -70 -19 0
-111 61 82 0
53 -54 -8 0
-25 2 119 0
-25 -30 46 0
-97 -4 121 0
61 120 106 0
-97 71 114 0
-34 125 -109 0
-80 -3 -55 0
-115 -67 11 0
-115 -24 14 0
101 -97 30 0
104 65 98 0
40 91 -52 0
-27 46 88 0
-12 92 46 0
-104 -48 -17 0
11 95 -84 0
28 12 65 0
124 -11 -27 0
-66 -36 4 0
69 29 80 0
-123 76 50 0
-99 -37 -74 0
4 -35 127 0
-85 21 99 0
76 5 22 0
101 47 -17 0
21 115 -112 0
-88 22 -83 0
-117 -6 42 0
-74 -1 20 0
46 109 124 0
-83 -39 117 0
-41 -54 95 0
13 -18 127 0
-49 4 -43 0
38 108 -110 0
80 32 105 0
124 100 -9 0
-69 -71 -92 0
46 59 -116 0
67 -116 -49 0
-15 -115 10 0
57 -96 97 0
46 -101 18 0
39 106 104 0
-36 -1 -68 0
-17 -18 -21 0
40 -87 -82 0
85 123 98 0
-3 -55 25 0
122 -79 -48 0
-115 -50 -30 0
78 -66 -116 0
-68 -99 14 0
22 -62 -32 0
-23 -1 64 0
-59 -106 42 0
-120 20 125 0
-30 -64 -103 0
-50 -67 82 0
30 3 -83 0
66 123 13 0
40 -116 -16 0
115 123 75 0
87 -33 49 0
-104 -20 -28 0
45 -55 -95 0
68 85 110 0
-9 90 -53 0
-120 -107 102 0
46 -32 -117 0
4 -96 53 0
-84 98 -8 0
-10 -18 -116 0
16 -116 81 0
92 -128 -93 0
55 91 62 0
54 -60 -128 0
23 87 -49 0
41 -96 49 0
3 125 -119 0
-95 -59 42 0
59 -76 -40 0
-102 32 44 0
-103 -72 25 0
3 -94 -1 0
99 3 29 0
-22 13 49 0
-69 4 -33 0
27 -105 33 0
-44 58 -6 0
-73 -12 3 0
84 -75 -11 0
70 -75 -38 0
51 93 -113 0
20 -73 72 0
30 29 -73 0
26 -36 -74 0
-4 88 67 0
65 -128 6 0
-93 -9 -28 0
112 -15 -66 0
-102 -103 77 0
-19 -7 -27 0
114 27 53 0
-98 -62 117 0
-108 50 116 0
-106 120 -9 0
-84 44 -111 0
-25 -27 -12 0
119 -24 44 0
24 -87 30 0
-112 -44 -71 0
-18 -28 23 0
-97 62 116 0
61 72 -53 0
34 36 -124 0
-45 -4 -43 0
19 15 -65 0
16 -13 109 0
25 88 101 0
-30 -6 38 0
-28 113 -101 0
-36 -26 -64 0
-4 8 -26 0
-45 -55 -34 0
-112 -56 49 0
-103 -53 -19 0
74 -11 17 0
-36 107 -101 0
15 -120 -8 0
-96 -66 69 0
-91 105 82 0
25 112 39 0
99 88 -1 0
107 105 64 0
33 -77 81 0
60 -15 -43 0
-102 -74 -54 0
28 -112 34 0
49 96 -42 0
94 58 83 0
-97 103 -56 0
-57 -90 26 0
-24 -40 -35 0
-9 72 40 0
-38 -18 -102 0
-46 -23 74 0
-78 25 -42 0
32 38 78 0
6 92 -5 0
-98 108 -57 0
-93 -64 -105 0
-55 5 78 0
-119 76 115 0
86 -111 -39 0
-65 46 -99 0
-106 1 -92 0
110 -3 17 0
99 37 119 0
123 43 100 0
120 -83 -110 0
89 -104 111 0
-4 -54 -126 0
-5 -72 -33 0
-14 2 107 0
-51 -79 -74 0
