c A SAT instance generated from a 3-CNF formula that had 700 clauses and 128 variables
Exactly-1
p cnf 128 700
-17 77 103 0
-57 1 70 0
-102 60 -88 0
-32 -30 39 0
96 -97 -12 0
117 51 12 0
-29 -66 112 0
-79 -45 -120 0
82 91 -57 0
-97 -119 105 0
-62 124 -26 0
-72 17 -35 0
-19 -91 -40 0
-94 50 -47 0
-21 37 -84 0
65 -109 -64 0
45 -17 55 0
91 29 -42 0
-26 -47 91 0
38 49 103 0
-108 7 -41 0
-118 95 10 0
-68 124 44 0
-125 95 102 0
-38 121 -109 0
1 -39 56 0
87 -95 10 0
11 -101 13 0
-2 52 34 0
101 -123 -86 0
85 26 62 0
-87 -54 4 0
-121 -109 102 0
-128 27 -127 0
30 -57 58 0
45 -8 -20 0
123 39 23 0
73 7 39 0
-10 -66 9 0
111 80 75 0
-60 119 28 0
98 -105 -71 0
-20 95 -48 0
-31 3 75 0
105 23 28 0
47 123 -39 0
-9 -127 -25 0
-83 41 12 0
64 -109 12 0
-45 92 -127 0
-73 15 -8 0
95 4 74 0
60 96 -56 0
-106 44 -111 0
-38 28 20 0
-2 81 -123 0
-60 11 127 0
13 3 54 0
114 -115 32 0
23 -65 94 0
36 113 109 0
-53 46 -80 0
-109 -48 -119 0
-9 -44 -79 0
-96 -43 -58 0
30 -128 93 0
86 98 -101 0
-88 -112 92 0
-55 -67 73 0
-35 -62 109 0
-56 -99 -36 0
11 -128 -24 0
-73 110 -74 0
101 128 -15 0
-23 122 2 0
60 -83 -71 0
-119 -57 54 0
125 95 -62 0
93 -97 -46 0
109 22 -86 0
22 5 46 0
43 -86 100 0
-87 -17 -108 0
-71 79 -86 0
-26 17 18 0
24 66 22 0
-20 88 71 0
55 -85 -39 0
-89 -86 60 0
-79 -118 -103 0
18 -119 -33 0
-78 -52 114 0
-45 -103 121 0
62 -6 44 0
64 -125 -58 0
31 -66 82 0
49 63 -56 0
-123 -117 91 0
101 10 97 0
-126 -104 87 0
-58 54 64 0
-2 -38 92 0
-121 -7 -118 0
3 -19 -79 0
-103 -117 -101 0
-14 62 -80 0
-22 -11 -4 0
7 -15 74 0
-15 -37 -79 0
-50 75 20 0
-108 77 -105 0
123 -29 5 0
-72 86 -6 0
71 -7 -85 0
56 -47 -90 0
86 -91 74 0
-13 -30 115 0
-85 -7 -82 0
36 -21 11 0
32 -125 49 0
-100 36 -32 0
-5 36 -95 0
-120 94 106 0
57 -102 -28 0
115 50 -17 0
11 -75 63 0
104 110 -46 0
7 -91 58 0
22 14 90 0
35 24 58 0
-73 -83 71 0
-53 -34 48 0
116 109 45 0
-74 112 -126 0
19 76 -102 0
77 -101 -38 0
115 -67 -87 0
67 64 126 0
-27 92 41 0
-45 -108 -117 0
78 -122 -121 0
-108 -1 59 0
-34 -63 -65 0
78 95 -102 0
-81 -9 61 0
-21 -91 -11 0
124 -76 -33 0
66 9 14 0
-30 -48 -14 0
99 68 -38 0
35 -3 -92 0
-77 -81 50 0
25 -49 52 0
-107 44 -127 0
62 50 -18 0
49 102 -30 0
13 -34 -116 0
46 52 -108 0
5 -56 -80 0
-57 124 56 0
-51 -15 85 0
-43 34 83 0
78 -86 77 0
-93 72 -80 0
16 -119 58 0
-47 -95 -105 0
95 -33 -29 0
102 -21 96 0
53 -21 -128 0
87 -75 -65 0
118 47 -123 0
-43 41 -125 0
-80 -36 46 0
3 9 69 0
127 75 21 0
9 45 -61 0
12 75 -83 0
60 -33 10 0
58 -66 43 0
-52 -11 34 0
24 -73 48 0
44 -40 80 0
112 94 -33 0
-124 -53 54 0
34 128 -17 0
-108 -63 11 0
36 -110 -53 0
15 -80 -99 0
-22 -2 -111 0
52 -4 14 0
-58 -20 -68 0
62 123 -102 0
-118 -38 16 0
67 -74 8 0
24 37 -112 0
89 -73 99 0
28 -55 2 0
100 -8 -89 0
80 86 84 0
-50 101 69 0
4 69 -48 0
-8 -5 -102 0
-88 7 82 0
49 54 66 0
-45 69 112 0
71 63 8 0
-34 67 -90 0
126 -18 44 0
31 32 -121 0
-51 3 -38 0
-63 -24 -71 0
-47 -107 102 0
18 28 -16 0
-77 -112 99 0
-85 125 -101 0
56 36 -95 0
-110 -85 -27 0
33 -8 -67 0
-2 50 122 0
119 19 92 0
-85 124 2 0
-52 -36 -94 0
-16 -80 -21 0
-16 86 -44 0
23 70 -74 0
50 116 106 0
-22 -3 -93 0
-61 59 -72 0
-14 83 -112 0
66 -107 -39 0
-62 20 51 0
92 81 -25 0
-43 92 -85 0
-75 -112 5 0
-51 117 -1 0
82 62 43 0
56 -39 -83 0
-97 -50 31 0
-93 11 44 0
-121 -88 4 0
124 -114 12 0
3 -46 -64 0
19 -76 -101 0
2 -53 -127 0
-34 -104 -65 0
-91 2 -27 0
-61 -107 -44 0
-71 86 -100 0
81 -47 -78 0
104 -98 48 0
-124 105 36 0
-44 47 -89 0
-57 -109 33 0
8 -128 -96 0
-79 1 -106 0
-52 35 87 0
80 64 62 0
23 4 -2 0
-50 -121 -109 0
109 96 -105 0
-105 115 -29 0
-50 -95 39 0
-125 -64 -47 0
-45 38 97 0
126 56 -58 0
52 -87 -54 0
69 -34 -23 0
7 -115 -78 0
24 -107 15 0
-11 -27 14 0
107 -115 -55 0
-47 -64 39 0
-127 53 -32 0
-87 -51 114 0
93 -61 -13 0
95 -3 -97 0
120 39 -22 0
67 -53 75 0
-60 -53 24 0
-51 -39 65 0
-108 -58 119 0
90 37 -89 0
-83 -85 53 0
-95 128 127 0
-115 67 -120 0
-19 2 109 0
-34 -2 50 0
12 91 9 0
-32 105 -11 0
89 -90 73 0
-42 -78 48 0
-1 40 -18 0
95 -4 -3 0
-90 -82 22 0
-79 7 72 0
-95 4 -57 0
-59 74 118 0
47 18 60 0
1 28 68 0
72 -4 37 0
-27 -100 91 0
7 -81 -35 0
21 -22 -57 0
40 29 24 0
-37 -6 -8 0
32 80 34 0
-116 -52 -32 0
14 -55 7 0
-115 -71 98 0
9 -101 -100 0
83 -54 -89 0
2 -83 -101 0
-47 3 124 0
88 78 -60 0
42 -27 6 0
10 43 115 0
66 126 97 0
-39 1 56 0
73 -40 -21 0
-92 117 113 0
-61 -37 -2 0
76 53 -104 0
-48 -18 89 0
-75 -20 -110 0
92 26 3 0
109 102 -3 0
-77 -50 -123 0
-115 7 96 0
-52 -113 -42 0
97 100 37 0
57 56 123 0
6 87 73 0
-125 128 -33 0
-65 -82 81 0
-28 27 10 0
118 -42 -67 0
27 -85 4 0
-120 -3 -81 0
-116 -107 -2 0
31 83 108 0
27 21 -74 0
116 -82 -105 0
-69 102 -76 0
-67 -15 -22 0
-62 85 112 0
-28 14 -122 0
101 61 28 0
127 -90 34 0
50 -123 -19 0
-8 -24 107 0
7 97 -70 0
-96 -84 -31 0
78 -9 95 0
86 -74 51 0
-8 16 127 0
11 -88 108 0
-49 107 58 0
-47 55 -11 0
-7 3 109 0
-11 -123 -79 0
97 -13 -54 0
-107 8 -72 0
18 97 -108 0
69 55 65 0
103 -73 51 0
-77 51 -48 0
-51 12 -91 0
-45 101 81 0
-20 108 30 0
101 40 -35 0
8 -101 70 0
22 46 -24 0
71 -46 -5 0
121 -13 122 0
-40 -48 81 0
84 -35 -39 0
-14 -7 104 0
56 -89 52 0
-85 -29 77 0
3 27 -13 0
71 86 -94 0
-64 98 123 0
-36 29 -31 0
-5 126 -96 0
-87 -24 -123 0
-24 -37 65 0
-28 -38 -51 0
-99 108 -121 0
62 22 -98 0
-12 -122 -94 0
57 -6 128 0
-60 -88 74 0
-120 69 -64 0
-48 9 -32 0
-4 -98 121 0
80 102 -71 0
10 -16 -105 0
66 77 -16 0
35 75 -38 0
-9 76 105 0
108 -69 -30 0
17 -86 -104 0
-72 52 -85 0
-43 39 60 0
-80 55 -69 0
-23 -103 -127 0
9 33 -12 0
-21 95 27 0
-112 77 127 0
96 17 119 0
-125 74 103 0
-26 -10 3 0
-79 56 120 0
-43 -9 47 0
-39 108 -100 0
109 -39 81 0
65 82 -86 0
-33 57 68 0
-97 73 67 0
109 41 1 0
-57 -66 34 0
22 -75 91 0
123 81 -39 0
86 69 -92 0
-49 82 -7 0
-19 85 57 0
-105 -101 -61 0
92 -113 -78 0
75 12 126 0
-111 93 -7 0
-30 81 28 0
68 -81 47 0
-107 89 59 0
94 -28 127 0
16 -128 -119 0
32 -54 -35 0
-14 43 128 0
-125 41 126 0
35 93 51 0
-66 -99 -33 0
72 -89 -31 0
-26 -5 85 0
21 -107 50 0
9 128 -16 0
124 68 53 0
-88 -49 75 0
-78 109 3 0
106 -74 -112 0
71 -62 -24 0
113 -9 98 0
-45 33 -89 0
-87 95 8 0
-18 64 -95 0
39 30 59 0
-103 -62 -35 0
-41 -38 -114 0
-53 -102 47 0
-33 4 116 0
61 -41 -7 0
124 -97 -94 0
-2 -73 19 0
31 41 -18 0
87 -32 62 0
54 -32 -124 0
41 55 115 0
122 108 -100 0
51 -90 76 0
-4 -46 9 0
28 -92 -54 0
-40 93 -6 0
111 108 -28 0
-92 -9 -95 0
-123 57 122 0
89 24 -122 0
51 -10 3 0
21 27 16 0
-72 10 86 0
-58 123 115 0
121 -20 -18 0
-127 -117 81 0
60 -16 -111 0
111 41 -13 0
33 76 -125 0
120 -95 -116 0
26 -32 125 0
73 -94 62 0
15 -79 54 0
-22 -3 -4 0
-78 -95 -23 0
8 108 -101 0
128 3 49 0
24 -26 94 0
