c A SAT instance generated from a 3-CNF formula that had 650 clauses and 128 variables
Exactly-1
p cnf 128 650
55 28 -57 0
101 43 -22 0
-2 79 65 0
-53 -120 -117 0
-101 -3 -27 0
51 -24 88 0
39 8 -111 0
72 5 -63 0
37 -73 -83 0
-108 -51 -42 0
-126 65 -79 0
16 101 -10 0
-15 55 47 0
-1 125 120 0
35 107 53 0
-124 31 19 0
-42 58 74 0
-43 -29 -118 0
-100 -128 34 0
127 71 13 0
23 15 -108 0
-8 -94 67 0
120 116 -4 0
106 -121 95 0
70 82 77 0
-77 -81 60 0
80 -116 22 0
-127 -73 14 0
16 -77 -93 0
-73 71 -32 0
-28 -67 2 0
7 -104 -109 0
-103 121 -55 0
30 -46 122 0
-46 -113 -44 0
25 -110 -100 0
127 49 45 0
42 4 -55 0
-89 -109 -16 0
-15 51 86 0
15 -12 70 0
-77 -109 -1 0
115 93 -71 0
-5 -107 -9 0
-95 58 -78 0
-34 40 5 0
72 70 -61 0
-80 -44 91 0
60 127 -59 0
-85 53 83 0
-24 58 99 0
-27 -79 53 0
-36 48 -31 0
-124 -17 98 0
-122 64 84 0
115 5 50 0
36 27 -114 0
115 58 90 0
75 109 -1 0
88 10 -33 0
25 14 106 0
-42 12 71 0
93 -38 -85 0
128 67 31 0
-54 -114 105 0
32 78 19 0
107 -53 2 0
11 117 23 0
63 70 87 0
87 -23 81 0
97 -79 -16 0
102 86 -8 0
-67 56 101 0
8 -79 63 0
-31 115 -104 0
86 -21 120 0
71 -65 94 0
-74 91 -66 0
-4 -116 -6 0
-7 -46 40 0
113 -54 10 0
-2 90 30 0
-82 -84 -5 0
124 89 30 0
-91 -73 -116 0
-60 -99 30 0
-85 -80 90 0
107 -109 -36 0
120 -64 -27 0
-10 -37 -58 0
-44 39 -57 0
-68 72 56 0
-84 94 -86 0
23 -79 -62 0
-21 -65 27 0
77 53 99 0
-85 -28 -101 0
-65 -125 -28 0
-1 -127 -113 0
-2 -60 -43 0
48 -22 46 0
32 25 124 0
-48 20 -112 0
-50 92 93 0
33 86 106 0
-6 9 61 0
-65 111 -45 0
-4 10 120 0
72 -84 -29 0
4 -49 74 0
-103 -9 -86 0
-127 66 92 0
-16 26 12 0
49 -68 31 0
64 -77 -27 0
-2 23 -71 0
-89 83 -36 0
-103 69 -92 0
77 -34 50 0
76 -92 -96 0
57 87 -92 0
58 -117 -102 0
-94 22 -35 0
-62 85 -4 0
108 -64 106 0
-31 52 -115 0
128 127 29 0
50 116 104 0
94 23 34 0
100 -105 49 0
54 42 88 0
-87 -45 -24 0
-120 117 -80 0
-36 -99 -34 0
-25 -36 -52 0
49 121 94 0
-50 -109 40 0
-30 106 80 0
49 -48 -77 0
-98 -124 -106 0
116 -84 28 0
32 -61 -105 0
-102 22 -11 0
115 8 68 0
102 -6 -20 0
103 -90 -98 0
-52 75 37 0
-68 -78 13 0
128 -43 -2 0
-58 -96 -87 0
-64 52 62 0
98 -81 5 0
49 -28 -19 0
-82 -15 102 0
-61 -39 121 0
97 -22 -49 0
122 -12 -11 0
-21 -82 29 0
112 -8 124 0
74 -119 -40 0
-31 -122 108 0
-84 -81 119 0
5 103 71 0
38 -121 -52 0
-15 14 17 0
-116 -57 -21 0
-58 -9 -10 0
38 75 66 0
60 -81 -76 0
-109 117 33 0
-20 -39 114 0
-59 45 18 0
-113 99 9 0
-96 -116 -75 0
83 71 -101 0
2 -98 -41 0
13 117 -38 0
-99 38 63 0
68 -80 39 0
7 95 99 0
-44 23 58 0
10 -75 -93 0
-98 97 -41 0
97 127 47 0
39 -77 115 0
111 48 120 0
56 -2 54 0
97 69 -4 0
71 -106 10 0
56 76 -6 0
-99 -52 71 0
-92 80 -83 0
-62 77 -28 0
18 72 -67 0
79 41 -59 0
89 -29 68 0
-89 84 -102 0
-75 -68 50 0
-100 46 -44 0
42 -31 118 0
-35 5 19 0
-15 -63 81 0
-123 102 -119 0
-108 -80 -126 0
-68 -77 -39 0
-79 61 73 0
-31 -66 122 0
-128 95 -91 0
81 6 -33 0
111 -3 19 0
-126 17 68 0
47 -117 -78 0
-116 44 84 0
94 15 75 0
119 -73 69 0
-106 -25 59 0
100 -97 -108 0
-6 77 74 0
-42 -9 -15 0
-92 32 53 0
125 53 74 0
121 1 13 0
-53 58 -33 0
-88 116 -42 0
112 87 69 0
-18 -58 -94 0
-120 -29 101 0
1 -89 3 0
63 -31 -24 0
-101 -78 -112 0
-87 -104 -49 0
20 102 124 0
-33 30 -122 0
-18 -20 68 0
126 3 91 0
-27 -103 -65 0
-127 56 -69 0
-80 -76 -14 0
16 -121 -13 0
-34 -114 -72 0
-35 -128 -47 0
-91 81 65 0
91 8 -27 0
41 -39 86 0
-57 -47 95 0
-44 13 -108 0
-16 2 45 0
-39 -94 107 0
86 -104 20 0
120 -38 -59 0
116 22 -53 0
108 83 92 0
38 -37 91 0
-126 11 63 0
-85 103 101 0
-1 -2 -46 0
-112 -36 -28 0
-113 25 -10 0
29 30 -73 0
-93 120 -26 0
-27 -77 66 0
-96 -69 66 0
-16 -25 71 0
-12 68 -43 0
26 124 -95 0
9 52 91 0
65 63 86 0
-108 -100 71 0
126 76 -107 0
93 -80 -77 0
-38 -25 -97 0
-24 86 -105 0
20 46 -11 0
39 -37 128 0
29 54 110 0
-80 66 -28 0
85 -19 105 0
3 89 -85 0
-66 -128 -108 0
53 -18 -37 0
63 100 -68 0
-33 49 47 0
-110 -116 -20 0
59 -51 121 0
123 -35 -45 0
56 19 92 0
33 -6 47 0
-6 22 7 0
-94 -118 -128 0
48 -8 31 0
25 -81 -102 0
-83 77 -102 0
47 40 3 0
-62 -100 77 0
110 68 79 0
-7 124 62 0
-108 -128 -35 0
-108 -115 10 0
-114 21 -78 0
-104 -65 -79 0
128 -59 -61 0
107 -52 101 0
-30 -11 -61 0
51 127 61 0
-35 -92 -44 0
-87 -93 -38 0
-112 12 -2 0
53 110 122 0
-96 -13 -105 0
-16 -20 -59 0
49 75 -36 0
-37 -63 35 0
-62 39 -64 0
-95 127 -84 0
24 -67 -41 0
5 100 61 0
12 69 30 0
-128 -48 29 0
25 8 -69 0
-79 -125 -12 0
119 -75 -6 0
-97 -109 -76 0
63 -69 -14 0
68 -118 -106 0
63 100 -14 0
96 -120 -72 0
59 -86 -93 0
59 62 35 0
-19 90 -88 0
125 -59 -97 0
56 -11 -128 0
30 73 19 0
-10 86 -11 0
46 -41 117 0
14 -29 -61 0
106 -51 -97 0
-108 -66 -117 0
-37 -59 -13 0
40 -41 78 0
-21 64 71 0
-127 24 66 0
-77 -66 24 0
-74 -97 12 0
-4 51 97 0
-127 124 -47 0
50 62 -120 0
-34 -56 -66 0
127 88 -72 0
107 -20 49 0
110 1 83 0
111 118 -41 0
-68 52 95 0
-14 6 -52 0
20 -84 -117 0
-18 -126 -68 0
-8 -107 -37 0
-54 118 -30 0
121 -21 -98 0
116 97 73 0
15 120 86 0
-81 45 -35 0
-86 60 61 0
67 -87 -22 0
-11 82 99 0
53 110 43 0
74 -7 34 0
126 -44 5 0
-47 -38 -41 0
21 68 -84 0
-85 -113 -75 0
106 76 10 0
48 -85 77 0
37 6 -62 0
89 -63 39 0
16 70 -77 0
-120 -99 -79 0
90 85 -114 0
-98 -72 58 0
119 -44 -66 0
-63 -88 -115 0
68 62 122 0
-1 37 -50 0
-62 64 -24 0
-26 90 33 0
109 -114 -36 0
66 -70 78 0
116 -118 24 0
-68 112 -126 0
-107 -13 93 0
-111 -37 103 0
101 -3 33 0
76 33 108 0
-27 -88 30 0
-24 -26 -47 0
66 40 68 0
46 27 -103 0
100 -111 -101 0
-78 44 -26 0
-5 -35 -29 0
-12 67 -52 0
-43 66 -26 0
-80 100 -108 0
-49 -81 -92 0
-100 -18 -73 0
-53 -14 -99 0
23 -115 120 0
125 -83 6 0
-69 -10 117 0
-88 -78 -7 0
-113 -26 -36 0
118 108 -37 0
-44 -21 70 0
40 -67 -11 0
25 -84 -87 0
-104 22 -32 0
79 -102 11 0
51 -30 -11 0
-103 61 120 0
-36 -45 -85 0
-82 103 -57 0
30 17 -10 0
-52 -123 49 0
78 49 117 0
-33 99 120 0
-68 -114 -56 0
125 -49 90 0
45 -116 -16 0
48 -113 -40 0
36 -2 -68 0
117 -11 -101 0
90 23 -75 0
25 83 -68 0
50 112 -48 0
69 -93 33 0
84 -107 -38 0
-42 76 35 0
75 -58 74 0
29 -5 31 0
-121 -91 41 0
97 -27 -60 0
106 -84 29 0
46 -66 -49 0
-39 -65 -77 0
40 5 94 0
33 8 35 0
18 -121 128 0
-111 -92 57 0
60 -26 -51 0
-94 -3 111 0
56 112 63 0
121 -34 -81 0
-19 128 54 0
-52 53 -41 0
-69 110 -100 0
-106 -55 -102 0
74 -50 71 0
110 -39 -84 0
-84 -122 -9 0
13 -71 6 0
-75 93 46 0
-65 111 15 0
24 -41 -73 0
5 -46 64 0
55 5 -68 0
77 -101 42 0
-48 6 107 0
30 93 20 0
-1 94 111 0
-102 -12 -110 0
62 63 -78 0
-82 -92 105 0
97 21 -104 0
-94 -9 -49 0
-77 -11 -33 0
102 21 47 0
-123 -64 7 0
-54 -91 -107 0
-12 73 84 0
97 111 64 0
-11 98 45 0
-84 63 47 0
20 -55 -23 0
60 109 -82 0
-117 87 -17 0
97 94 27 0
-113 36 31 0
49 94 124 0
125 -92 79 0
16 123 74 0
-38 21 94 0
-62 -31 -116 0
-12 -91 -89 0
-86 14 -44 0
-1 -42 -120 0
-36 -59 -89 0
-115 -121 105 0
-94 -32 -76 0
4 -85 -120 0
-58 22 92 0
-10 -81 9 0
-115 90 116 0
-73 -127 -42 0
55 -47 -1 0
29 47 -78 0
-105 -40 99 0
70 -112 68 0
63 -69 127 0
31 -102 -75 0
-37 4 80 0
-46 78 122 0
78 -97 -41 0
-67 74 29 0
9 -25 -96 0
-120 -19 -121 0
-71 27 15 0
-37 -13 -39 0
-57 -84 59 0
125 101 -20 0
108 -83 116 0
-50 10 -13 0
-21 -8 -37 0
48 81 52 0
-124 55 -94 0
-121 52 -70 0
-62 34 78 0
-51 118 63 0
71 -97 -4 0
-71 104 51 0
102 -103 22 0
-91 -122 -59 0
-82 114 43 0
-105 6 102 0
-77 -74 3 0
-48 34 93 0
81 85 -119 0
19 23 42 0
-116 33 61 0
-32 35 -4 0
-70 -1 -37 0
-76 -56 67 0
19 42 29 0
92 -102 120 0
-9 -32 -41 0
57 7 -8 0
-31 -95 -89 0
23 -116 -57 0
-101 54 7 0
-126 -98 80 0
