c A SAT instance generated from a 3-CNF formula that had 600 clauses and 64 variables
p cnf 64 600
50 -27 -38 0
-27 -20 -59 0
-13 -3 -61 0
-58 -7 19 0
-24 30 -17 0
46 25 1 0
58 41 -19 0
24 39 36 0
39 47 55 0
33 4 -60 0
-16 23 9 0
33 -31 -16 0
-51 14 19 0
60 61 -45 0
59 -12 -24 0
-58 10 32 0
-38 17 18 0
-63 -41 6 0
41 17 -15 0
16 21 -37 0
-46 64 16 0
20 24 -3 0
-36 -37 -57 0
-29 -19 46 0
44 49 27 0
33 -58 37 0
55 49 -20 0
7 -11 32 0
57 3 -29 0
-23 27 50 0
60 55 32 0
-63 52 6 0
-52 14 51 0
63 -16 -52 0
24 -56 -41 0
-33 -38 31 0
8 21 47 0
-10 1 -7 0
28 -50 -56 0
-7 15 36 0
64 -16 40 0
-35 36 49 0
40 -33 46 0
-36 53 -4 0
-4 -42 8 0
-27 -2 -7 0
-10 6 -52 0
46 57 44 0
55 43 45 0
-60 62 -22 0
5 44 7 0
48 39 25 0
-46 -52 -24 0
-2 63 5 0
-43 15 -4 0
30 -5 -59 0
-40 47 9 0
14 47 -31 0
36 60 -57 0
29 -26 -37 0
-60 -36 -5 0
-6 -8 25 0
-42 -4 6 0
-17 -1 54 0
28 26 -12 0
38 -17 60 0
9 -3 -22 0
-29 38 10 0
11 9 26 0
-45 -29 41 0
20 44 -60 0
46 51 61 0
-8 32 45 0
-14 47 -61 0
2 -55 7 0
-32 60 -49 0
51 41 5 0
29 62 -15 0
19 20 -56 0
51 57 3 0
52 -43 -62 0
4 -25 12 0
-49 16 -13 0
52 14 54 0
-11 -18 47 0
-12 -4 55 0
-14 57 -58 0
-55 -28 33 0
-52 -27 49 0
-54 -11 -4 0
64 3 62 0
-35 12 -57 0
19 39 58 0
32 25 -17 0
31 -27 -8 0
-13 20 -34 0
-47 -43 -12 0
35 -37 -52 0
-8 -55 3 0
-53 -20 3 0
-63 42 -40 0
-20 22 -9 0
28 64 -49 0
-51 -11 41 0
-36 14 62 0
8 -9 46 0
17 -56 25 0
19 16 -13 0
-42 13 15 0
-17 -41 5 0
-52 53 -36 0
17 2 -61 0
-55 -57 -64 0
-46 61 -63 0
-62 21 4 0
24 -40 -23 0
-59 37 -38 0
33 59 45 0
-56 -23 26 0
-48 -56 -26 0
-39 -18 60 0
4 -34 -27 0
10 28 -17 0
59 6 7 0
51 23 -54 0
20 24 39 0
62 11 -19 0
48 -64 2 0
-36 -62 64 0
-29 -48 -36 0
-64 -23 -32 0
-62 15 28 0
28 51 16 0
3 48 -14 0
17 33 -30 0
-22 64 -3 0
45 62 -39 0
47 -45 52 0
-63 -32 19 0
-33 -1 14 0
-53 -27 -55 0
25 56 54 0
49 -4 -50 0
28 -61 29 0
-28 15 -16 0
-12 -24 45 0
62 15 -35 0
43 49 -18 0
22 -39 -52 0
49 31 42 0
23 -8 -63 0
59 55 14 0
58 -64 -60 0
2 28 57 0
19 12 36 0
-46 61 55 0
-30 5 -38 0
-9 29 38 0
15 -59 17 0
59 -26 8 0
-28 -58 43 0
28 -5 32 0
-49 3 24 0
-37 49 -31 0
64 -60 -30 0
50 -22 29 0
-33 -4 -3 0
-23 25 54 0
-5 8 51 0
26 25 53 0
-2 51 33 0
-47 12 56 0
-25 -21 52 0
-41 -34 -45 0
-8 -34 26 0
-5 62 -54 0
17 7 48 0
-3 -31 -13 0
-14 3 16 0
-51 -4 50 0
17 -45 -52 0
10 -31 -12 0
-43 57 -7 0
19 23 64 0
8 19 -54 0
-9 -31 60 0
24 8 -25 0
-49 -43 56 0
-62 -8 49 0
-39 38 57 0
18 3 21 0
49 -30 -34 0
17 10 -61 0
22 -56 -21 0
-5 15 -40 0
-47 -52 -49 0
40 -61 -31 0
-23 -37 30 0
-53 -44 9 0
59 -30 32 0
50 -57 -59 0
64 -41 58 0
-25 48 57 0
40 32 47 0
17 -41 -27 0
2 -32 -44 0
-52 59 -49 0
30 -8 -34 0
-29 -40 45 0
36 -4 29 0
-48 -46 -2 0
30 34 31 0
-28 35 -2 0
-12 -50 -1 0
-40 -26 -23 0
-6 59 -26 0
-2 53 54 0
-33 -6 -23 0
12 -24 -23 0
-12 -3 35 0
44 -43 -22 0
-17 -19 42 0
18 16 -42 0
38 45 -24 0
1 -51 24 0
-9 -45 -7 0
40 17 -30 0
50 62 16 0
48 35 -9 0
20 -25 4 0
-38 -44 5 0
32 -22 -1 0
39 -1 46 0
-29 -17 15 0
-40 16 -3 0
-45 32 30 0
14 -63 41 0
-22 61 58 0
59 -21 17 0
-21 28 18 0
-4 31 -11 0
41 -47 16 0
62 -28 8 0
-22 -63 -47 0
19 -52 -49 0
51 -23 -52 0
46 23 -2 0
2 44 36 0
45 13 -4 0
-36 -51 -17 0
7 -55 17 0
3 -21 -39 0
25 -39 38 0
32 -43 -61 0
-7 -9 31 0
54 49 32 0
6 54 -28 0
54 -31 27 0
61 -25 -12 0
-38 -31 13 0
23 -4 -40 0
42 62 -33 0
60 21 -53 0
44 49 3 0
-12 11 -4 0
-22 -49 3 0
-42 35 -24 0
-19 -43 36 0
62 3 -45 0
14 21 17 0
38 64 1 0
-43 54 -4 0
-43 18 -37 0
-12 46 -22 0
38 31 45 0
-21 -19 -50 0
58 57 -44 0
-1 45 43 0
-47 33 -3 0
-40 -3 10 0
14 -59 -48 0
-15 21 -28 0
55 14 -44 0
38 17 -26 0
-27 18 -12 0
60 9 -58 0
-63 30 -20 0
-52 -16 23 0
14 -46 -48 0
-36 -64 14 0
54 9 46 0
46 3 -39 0
38 -55 -17 0
47 31 -57 0
-47 27 -48 0
8 36 -45 0
42 -3 55 0
63 53 15 0
-62 -11 37 0
-22 58 -52 0
19 -41 -33 0
-24 -31 37 0
-11 -40 31 0
-43 -55 -21 0
14 -61 18 0
12 63 -35 0
-29 12 33 0
-34 28 -44 0
6 -20 24 0
-1 27 -35 0
53 50 30 0
-32 -3 26 0
7 5 -59 0
-2 43 16 0
47 -50 -8 0
18 30 11 0
-57 -45 -25 0
-28 -50 52 0
62 -5 -32 0
22 8 48 0
37 -57 -46 0
-39 -55 -37 0
-64 26 46 0
-21 28 -31 0
48 20 45 0
-17 -5 64 0
-9 -1 45 0
57 61 2 0
-29 -39 57 0
-48 -35 -28 0
-58 39 24 0
-28 59 34 0
63 -44 46 0
-53 -10 20 0
13 23 50 0
-32 60 -21 0
36 25 31 0
-61 59 -53 0
39 33 53 0
54 -48 12 0
-51 -40 44 0
-51 63 -18 0
5 -21 -37 0
46 19 -50 0
38 9 32 0
-31 8 -32 0
-7 63 15 0
-26 29 -2 0
13 31 49 0
49 27 -31 0
-63 38 -45 0
-14 28 -30 0
19 15 16 0
1 -31 -17 0
-26 5 -8 0
-54 4 51 0
39 -19 -15 0
-60 -23 16 0
-35 20 -11 0
-6 -56 -37 0
63 55 -17 0
32 60 -48 0
-1 48 17 0
-38 -52 28 0
19 39 36 0
52 -26 -30 0
25 -29 20 0
15 -48 -51 0
-1 13 -17 0
50 59 -52 0
-46 54 -42 0
52 19 49 0
33 -35 63 0
11 2 49 0
-11 -23 -28 0
38 3 29 0
35 -47 40 0
50 5 -59 0
-29 -36 18 0
4 -10 -55 0
-62 4 52 0
-22 -53 44 0
27 33 4 0
-31 -39 -58 0
-27 -16 -40 0
38 -5 -27 0
64 -33 29 0
5 46 -54 0
49 5 -8 0
57 17 15 0
56 -17 -18 0
30 25 33 0
-41 -4 13 0
-55 -44 -12 0
-20 -47 49 0
-58 48 -61 0
36 -22 25 0
24 -28 -5 0
-19 -63 -8 0
-16 -26 -1 0
-61 -57 26 0
59 11 7 0
-53 -16 59 0
-64 31 -51 0
29 -53 -14 0
-17 -48 61 0
-19 63 46 0
34 35 46 0
6 54 29 0
-60 17 -35 0
-43 16 35 0
-54 62 -4 0
9 31 49 0
-57 48 9 0
-64 -63 8 0
52 -55 33 0
64 1 -38 0
-46 -6 21 0
-37 -30 56 0
-56 -19 21 0
-52 17 -48 0
-34 7 21 0
10 -17 59 0
-22 -21 62 0
-1 -62 35 0
53 -4 11 0
-8 6 24 0
-30 9 -61 0
-16 -12 27 0
-37 -41 -51 0
-56 -43 -50 0
-32 -64 8 0
-41 2 22 0
-2 57 8 0
20 -50 1 0
-42 -27 40 0
62 -56 14 0
23 1 4 0
-37 -55 -19 0
3 47 -12 0
-41 17 38 0
-10 9 64 0
33 2 16 0
-62 36 -57 0
49 -6 -2 0
4 35 -59 0
-51 56 23 0
27 -35 -54 0
-54 -51 -62 0
-34 56 18 0
33 -42 -22 0
-56 45 37 0
-40 -59 20 0
-48 -15 37 0
-48 -16 56 0
9 18 -45 0
-4 -61 33 0
-54 -11 -49 0
47 24 46 0
15 40 27 0
-11 51 -62 0
59 12 2 0
-48 4 -26 0
45 -58 26 0
-33 5 -7 0
-12 55 -37 0
57 -31 48 0
-9 41 -17 0
-60 -32 1 0
2 62 -46 0
32 -14 15 0
-3 -25 34 0
